,지점명,주소,전화번호
47,광주상무시민로,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
48,광주풍암,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
49,광주금호DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
50,광주상무대교,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
51,광주동림,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
52,신세계광주,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
53,광주상무,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
54,상무치평,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
55,상무역,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
56,신세계광주신관B1,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
57,서광주DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
