작품
하늘과 바람과 별과 시
증보판
서시
자화상
소년
눈 오는 지도
돌아와 보는 밤
병원
새로운 길
간판 없는 거리
태초의 아침
또 태초의 아침
새벽이 올 때까지
무서운 시간
십자가
바람이 불어
슬픈 족속
눈감고 간다
또 다른 고향
길
별 헤는 밤
흰 그림자
사랑스런 추억
흐르는 거리
쉽게 씌어진 시
봄
참회록
간(肝)
위로
팔복
못자는밤
달같이
고추밭
아우의 인상화
사랑의 전당
이적
비오는 밤
산골물
유언
창
바다
비로봉
산협의 오후
명상
소낙비
한난계
풍경
달밤
장
밤
황혼이 바다가 되어
아침
빨래
꿈은 깨어지고
산림
이런날
산상
양지쪽
닭
가슴 1
가슴 2
비둘기
황혼
남쪽 하늘
창공
거리에서
삶과 죽음
초한대
산울림
해바라기 얼굴
귀뚜라미와 나와
애기의 새벽
햇빛·바람
반디불
둘 다
거짓부리
눈
참새
버선본
편지
봄
무얼 먹구 사나
굴뚝
햇비
빗자루
기왓장 내외
오줌싸개 지도
병아리
조개껍질
겨울
트루게네프의 언덕
달을 쏘다
별똥 떨어진 데
화원에 꽃이 핀다
종시
