,메뉴명,칼로리,설탕,단백질,나트륨,지방,카페인
121,스타 루비 자몽 스위트 190ML,129,32,0.2,5,0,0
122,스타 루비 자몽 스위트 591ML,406,100,0.6,10,0,0
123,유기농 오렌지 100% 주스 190ML,95,20,2,5,0,0
124,유기농 오렌지 100% 주스 591ML,290,62,6,10,0.6,0
125,케일&사과주스 190ML,105,26,0,25,0,0
126,토마토주스 190ML,70,16,1,120,0,0
127,핑크 용과 레모네이드 190ML,88,19,0,5,0,0
128,한라봉주스 190ML,78,16,0.5,10,0,0
129,햇사과 주스 190ML,113,27,0.2,10,0,0
130,딸기 가득 요거트 190ML,155,21,4,50,3.2,0
131,블루베리 요거트 190ML,155,18,5,70,3.6,0
132,애플망고 코코넛 190ML,244,21,3,9,11,0
133,한라봉 코코넛 190ML,236,19,3,9,10,0
